"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10969","Main page: Filter by tags","webkit","2026-08-25","passed","2026-08-25","Main page","test-main-page.spec.ts","",""
"","30468","test auth faild","firefox","2026-08-25","broken","2026-08-25","","test-login.spec.ts","",""
"","3905","Main page: Filter by category","firefox","2026-08-25","passed","2026-08-25","Main page","test-main-page.spec.ts","",""
"","22303","Save recipe","Mobile Chrome","2026-08-25","failed","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","30751","Bar page: Filter by favorite button","Mobile Chrome","2026-08-25","broken","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","2875","has title","firefox","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","31366","Save recipe","webkit","2026-08-25","broken","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","1538","has title","Mobile Safari","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","4338","Main page: Filter by cook time","chromium","2026-08-25","passed","2026-08-25","Main page","test-main-page.spec.ts","",""
"","10061","Bar page: Filter by favorite button","webkit","2026-08-25","passed","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","8800","test-show","Mobile Safari","2026-08-25","failed","2026-08-25","","test-login.spec.ts","",""
"","3034","get started link","webkit","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","4502","has title","Google Chrome","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","28175","Save recipe with photo and check created recipe","firefox","2026-08-25","failed","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","18716","Заполнение основной формы при создании рецепта","Google Chrome","2026-08-25","failed","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","32420","Main page: Filter by cook time","Mobile Safari","2026-08-25","broken","2026-08-25","Main page","test-main-page.spec.ts","",""
"","2388","get started link","Google Chrome","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","31778","Main page: Filter by tags","Mobile Safari","2026-08-25","broken","2026-08-25","Main page","test-main-page.spec.ts","",""
"","31363","Main page: Filter by category","Mobile Safari","2026-08-25","broken","2026-08-25","Main page","test-main-page.spec.ts","",""
"","30544","test auth faild","Mobile Chrome","2026-08-25","broken","2026-08-25","","test-login.spec.ts","",""
"","30612","Save recipe","firefox","2026-08-25","broken","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","31711","Save recipe with photo and check created recipe","Mobile Safari","2026-08-25","broken","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","30816","Save recipe with photo and check created recipe","webkit","2026-08-25","broken","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","32032","Заполнение основной формы при создании рецепта","webkit","2026-08-25","broken","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","3716","Main page: Filter by tags","firefox","2026-08-25","passed","2026-08-25","Main page","test-main-page.spec.ts","",""
"","17539","Bar page: Filter by tag","webkit","2026-08-25","passed","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","30554","Main page: Filter by tags","Mobile Chrome","2026-08-25","broken","2026-08-25","Main page","test-main-page.spec.ts","",""
"","30656","Main page: Filter by cook time","Mobile Chrome","2026-08-25","broken","2026-08-25","Main page","test-main-page.spec.ts","",""
"","1820","has title","Mobile Chrome","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","19110","Save recipe","chromium","2026-08-25","failed","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","30965","Заполнение основной формы при создании рецепта","Mobile Safari","2026-08-25","broken","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","31098","Заполнение основной информации и ингредиентов при создании рецепта","Mobile Safari","2026-08-25","broken","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","6935","test-show","Mobile Chrome","2026-08-25","failed","2026-08-25","","test-login.spec.ts","",""
"","20294","Заполнение основной информации и ингредиентов при создании рецепта","firefox","2026-08-25","passed","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","23803","Save recipe with photo and check created recipe","Google Chrome","2026-08-25","failed","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","1993","get started link","Mobile Safari","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","6486","Main page: Filter by tags","chromium","2026-08-25","passed","2026-08-25","Main page","test-main-page.spec.ts","",""
"","32420","test auth faild","webkit","2026-08-25","broken","2026-08-25","","test-login.spec.ts","",""
"","3602","test-show","webkit","2026-08-25","passed","2026-08-25","","test-login.spec.ts","",""
"","25260","Save recipe","Google Chrome","2026-08-25","failed","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","5331","Main page: Filter by tags","Google Chrome","2026-08-25","passed","2026-08-25","Main page","test-main-page.spec.ts","",""
"","2059","get started link","Mobile Chrome","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","8776","test filter on coffe page","firefox","2026-08-25","passed","2026-08-25","Coffee page","test-coffe-page.spec.ts","",""
"","9179","Bar page: Filter by tag","Mobile Chrome","2026-08-25","failed","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","2153","test-show","chromium","2026-08-25","passed","2026-08-25","","test-login.spec.ts","",""
"","20377","test filter on coffe page","webkit","2026-08-25","passed","2026-08-25","Coffee page","test-coffe-page.spec.ts","",""
"","1233","has title","chromium","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","3504","get started link","firefox","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","30541","Main page: Filter by category","Mobile Chrome","2026-08-25","broken","2026-08-25","Main page","test-main-page.spec.ts","",""
"","30485","test filter on coffe page","Mobile Chrome","2026-08-25","broken","2026-08-25","Coffee page","test-coffe-page.spec.ts","",""
"","31387","test auth faild","Mobile Safari","2026-08-25","broken","2026-08-25","","test-login.spec.ts","",""
"","21811","Save recipe with photo and check created recipe","chromium","2026-08-25","failed","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","5231","Bar page: Filter by favorite button","Google Chrome","2026-08-25","passed","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","19032","Заполнение основной информации и ингредиентов при создании рецепта","chromium","2026-08-25","passed","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","30445","test auth faild","chromium","2026-08-25","broken","2026-08-25","","test-login.spec.ts","",""
"","2568","test-show","firefox","2026-08-25","passed","2026-08-25","","test-login.spec.ts","",""
"","15360","авторизация","setup","2026-08-25","passed","2026-08-25","","auth.setup.ts","",""
"","9234","Main page: Filter by cook time","webkit","2026-08-25","passed","2026-08-25","Main page","test-main-page.spec.ts","",""
"","3839","Main page: Filter by category","Google Chrome","2026-08-25","passed","2026-08-25","Main page","test-main-page.spec.ts","",""
"","8629","Main page: Filter by category","webkit","2026-08-25","passed","2026-08-25","Main page","test-main-page.spec.ts","",""
"","6970","has title","webkit","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","30220","test auth faild","Google Chrome","2026-08-25","broken","2026-08-25","","test-login.spec.ts","",""
"","6833","Bar page: Filter by tag","Google Chrome","2026-08-25","passed","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","30742","Save recipe","Mobile Safari","2026-08-25","broken","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","15935","Заполнение основной формы при создании рецепта","chromium","2026-08-25","failed","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","14585","Заполнение основной формы при создании рецепта","firefox","2026-08-25","failed","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","5991","Bar page: Filter by tag","firefox","2026-08-25","passed","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","1989","test-show","Google Chrome","2026-08-25","passed","2026-08-25","","test-login.spec.ts","",""
"","5725","Bar page: Filter by favorite button","chromium","2026-08-25","passed","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","3462","Main page: Filter by category","chromium","2026-08-25","passed","2026-08-25","Main page","test-main-page.spec.ts","",""
"","8111","test filter on coffe page","Google Chrome","2026-08-25","passed","2026-08-25","Coffee page","test-coffe-page.spec.ts","",""
"","11143","Bar page: Filter by tag","Mobile Safari","2026-08-25","failed","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","4352","Main page: Filter by cook time","firefox","2026-08-25","passed","2026-08-25","Main page","test-main-page.spec.ts","",""
"","26351","Save recipe with photo and check created recipe","Mobile Chrome","2026-08-25","failed","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","6949","Bar page: Filter by tag","chromium","2026-08-25","passed","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","31413","test filter on coffe page","Mobile Safari","2026-08-25","broken","2026-08-25","Coffee page","test-coffe-page.spec.ts","",""
"","7519","test filter on coffe page","chromium","2026-08-25","passed","2026-08-25","Coffee page","test-coffe-page.spec.ts","",""
"","14609","Заполнение основной формы при создании рецепта","Mobile Chrome","2026-08-25","failed","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","1766","get started link","chromium","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","31336","Bar page: Filter by favorite button","Mobile Safari","2026-08-25","broken","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","5753","Bar page: Filter by favorite button","firefox","2026-08-25","passed","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","23434","Заполнение основной информации и ингредиентов при создании рецепта","Google Chrome","2026-08-25","passed","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","4619","Main page: Filter by cook time","Google Chrome","2026-08-25","passed","2026-08-25","Main page","test-main-page.spec.ts","",""
"","31538","Заполнение основной информации и ингредиентов при создании рецепта","webkit","2026-08-25","broken","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","19186","Заполнение основной информации и ингредиентов при создании рецепта","Mobile Chrome","2026-08-25","passed","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
